SN	Pad-value	Protein name (Annotation)
1	0.129749	>gi|21240775|ref|NP_640357.1| chromosomal replication initiator [Xanthomonas axonopodis pv. citri str. 306]
2	0.087882	>gi|21240776|ref|NP_640358.1| DNA polymerase III beta chain [Xanthomonas axonopodis pv. citri str. 306]
3	0.214375	>gi|21240777|ref|NP_640359.1| DNA replication and repair RecF protein [Xanthomonas axonopodis pv. citri str. 306]
4	0.094501	>gi|21240778|ref|NP_640360.1| DNA gyrase subunit B [Xanthomonas axonopodis pv. citri str. 306]
5	0.503897	>gi|21240779|ref|NP_640361.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
6	0.442326	>gi|21240780|ref|NP_640362.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
7	0.524532	>gi|21240781|ref|NP_640363.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
8	0.444016	>gi|21240782|ref|NP_640364.1| TonB protein [Xanthomonas axonopodis pv. citri str. 306]
9	0.603988	>gi|21240783|ref|NP_640365.1| biopolymer transport ExbB protein [Xanthomonas axonopodis pv. citri str. 306]
10	0.687114	>gi|21240784|ref|NP_640366.1| biopolymer transport ExbD1 protein [Xanthomonas axonopodis pv. citri str. 306]
11	0.514185	>gi|21240785|ref|NP_640367.1| biopolymer transport ExbD2 protein [Xanthomonas axonopodis pv. citri str. 306]
12	0.526417	>gi|21240786|ref|NP_640368.1| pyridoxal phosphate biosynthetic protein [Xanthomonas axonopodis pv. citri str. 306]
13	0.180090	>gi|21240787|ref|NP_640369.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
14	0.247648	>gi|21240788|ref|NP_640370.1| cardiolipin synthetase [Xanthomonas axonopodis pv. citri str. 306]
15	0.785048	>gi|21240789|ref|NP_640371.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
16	0.239332	>gi|21240790|ref|NP_640372.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
17	0.291340	>gi|21240791|ref|NP_640373.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
18	0.346993	>gi|21240792|ref|NP_640374.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
19	0.772618	>gi|21240793|ref|NP_640375.1| outer membrane protein [Xanthomonas axonopodis pv. citri str. 306]
20	0.149518	>gi|21240794|ref|NP_640376.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
21	0.237274	>gi|21240795|ref|NP_640377.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
22	0.201882	>gi|21240796|ref|NP_640378.1| D-3-phosphoglycerate dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
23	0.254332	>gi|21240797|ref|NP_640379.1| carboxyl-terminal protease [Xanthomonas axonopodis pv. citri str. 306]
24	0.442339	>gi|21240798|ref|NP_640380.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
25	0.568311	>gi|21240799|ref|NP_640381.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
26	0.392131	>gi|21240800|ref|NP_640382.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
27	0.783759	>gi|21240801|ref|NP_640383.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
28	0.810682	>gi|21240802|ref|NP_640384.1| cellulase [Xanthomonas axonopodis pv. citri str. 306]
29	0.499163	>gi|21240803|ref|NP_640385.1| cellulase [Xanthomonas axonopodis pv. citri str. 306]
30	0.648522	>gi|21240804|ref|NP_640386.1| cellulase [Xanthomonas axonopodis pv. citri str. 306]
31	0.286907	>gi|21240805|ref|NP_640387.1| alcohol dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
32	0.122141	>gi|21240806|ref|NP_640388.1| glutamate synthase beta subunit [Xanthomonas axonopodis pv. citri str. 306]
33	0.088806	>gi|21240807|ref|NP_640389.1| glutamate synthase alpha subunit [Xanthomonas axonopodis pv. citri str. 306]
34	0.504182	>gi|21240808|ref|NP_640390.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
35	0.124558	>gi|21240809|ref|NP_640391.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
36	0.575587	>gi|21240810|ref|NP_640392.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
